A1_0,A1_1,A4_0,A4_1,A5_0,A5_1,A6_0,A6_1,A6_2,A6_3,A7_0,A7_1,A7_2,A7_3,A9_0,A9_1,A10_0,A10_1,A12_0,A12_1,A13_0,A13_1,A2,A3,A8,A11,A14,A15,Class
0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0.20142257618925616,0.19693014732604555,2.7155143392205696,-0.5040186939779314,0.47357506258949994,-0.1550241269043983,1
1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0.7378863645856939,-0.389218560801868,-0.33156884177814117,-0.5040186939779314,-1.0724988558115247,-0.19312477497136735,1
0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1.3709522757425945,-0.19757453266600564,-0.3294596471443165,-0.5040186939779314,-1.0724988558115247,0.31932894152936636,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1.2260490916019,-0.35749153942151624,-0.32875658226637494,0.90593812987343,-1.0724988558115247,-0.19312477497136735,1
0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0.6361321286113395,1.0237555529958198,-0.3146952847075438,1.510205340095442,0.8303613514512749,-0.19312477497136735,1
0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0.09387221284927405,-0.11072581757433556,-0.2647776783736932,0.10024851624408064,1.2822906506761897,-0.19312477497136735,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,-0.22813486301893585,1.4916489996151494,-0.10940034034860897,1.510205340095442,-0.3589262780879749,-0.14645148108933026,1
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,-0.31958487256550744,-0.383129536496548,0.1352662371750531,-0.5040186939779314,-1.0724988558115247,-0.19312477497136735,1
1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,-0.49089263692739515,2.3601361505318503,-0.2795420408104659,0.90593812987343,-0.5016407936326849,-0.19312477497136735,1
0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,-1.7093674120127014,-0.030607076714861303,-0.3146952847075438,2.9201621639468036,0.11678877372772499,0.037003139353125734,1
0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,-0.22813486301893585,-0.3908209356190575,0.2547872664251179,-0.5040186939779314,0.7114325884973499,-0.19312477497136735,1
1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1.3496998087352927,-0.38857761087499226,5.204364007133684,0.7045157264660926,-1.0724988558115247,0.046909307850537686,1
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0.04041903825515121,-0.34467254088400034,1.8366832417936227,-0.30259629057059406,-0.3589262780879749,-0.19102923932768404,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0.9259384968927284,-0.3703105379590321,-0.32875658226637494,0.10024851624408064,-0.2102653243955687,-0.19312477497136735,1
1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,-0.7059933636073593,-0.20366355697132568,-0.3217259334869594,-0.1011738871632567,-0.4778550410418999,-0.19312477497136735,1
1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,-1.6951991006745002,-0.38697523605780276,3.2990581879120624,1.3087829366881047,-1.0724988558115247,-0.19312477497136735,1
0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1.9183643047185515,-0.33185354234648445,-0.3217259334869594,2.9201621639468036,-1.0724988558115247,-0.19312477497136735,1
0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1.9724614934644107,-0.3639010386902742,-0.32735045251049183,0.10024851624408064,-1.0724988558115247,-0.19312477497136735,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0.9845437847007427,-0.35781201438495414,-0.32875658226637494,0.7045157264660926,1.9007202180365996,1.7119076283770853,1
0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0.15827362802291603,0.08284106034215423,0.022072791826462303,0.5030933230587553,-0.07349724699855498,-0.19312477497136735,1
0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,-1.6984191714331822,-0.07739642137679427,0.22736773618539713,1.1073605332807674,-1.0724988558115247,-0.19312477497136735,1
0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,-1.406680760696584,2.0396611870939534,5.000475192530632,2.5173173571321286,-1.0724988558115247,0.759391426702859,1
1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0.6412842418252309,1.2512927770367266,-0.32875658226637494,-0.5040186939779314,-1.0724988558115247,0.5688881863680136,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,-0.271283811185276,-0.046630824886756156,-0.04049998231033633,0.5030933230587553,-1.0724988558115247,-0.086442960383854,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0.06682361847634442,-0.38633428613092696,-0.33086577690019964,1.7116277435027794,1.5082553002886472,-0.18645716155964775,1
0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0.029470797675632075,0.11681140646657132,0.9578521443666754,1.9130501469101167,2.3942745842953883,-0.05729596461262267,1
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,-1.7106554403161742,-0.014583328542966454,-0.32875658226637494,-0.1011738871632567,0.7114325884973499,-0.0881574895468676,1
0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0.06167150526245307,-0.20366355697132568,-0.3146952847075438,-0.1011738871632567,0.47357506258949994,-0.0978731548039447,1
0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1.7895614743712673,2.626130370185305,9.80240830887147,1.7116277435027794,-0.8941057113806373,-0.13597380287091376,1
0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0.47512859067723456,-0.09726586910994388,-0.30063398714871264,1.9130501469101167,-1.0724988558115247,-0.15102355885736654,1
0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0.13702116101561418,-0.38633428613092696,3.418579217162127,1.7116277435027794,-1.0724988558115247,0.24179412271308437,1
0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0.18532222239584567,0.06233066268212882,-0.2795420408104659,-0.30259629057059406,0.3546462996355749,-0.17407445093788282,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0.8235402467666377,4.068267705655841,5.731662665589852,0.7045157264660926,-0.6562481854727874,-0.19312477497136735,1
0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1.9080600782907686,-0.3821681116062343,-0.1318984164427388,7.552877442315562,-1.0724988558115247,-0.19026722636634466,1
0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.773461120577857,-0.17482081026191496,1.5132733979405062,1.7116277435027794,-1.0724988558115247,-0.1390218547162713,1
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,-1.6990631855849188,-0.3257645180411644,-0.24438879691338805,4.128696584390827,1.6331305013902684,0.0423372300825014,1
0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0.33022540653654014,-0.24820957688919335,0.09237927962061807,0.10024851624408064,0.7768434081220086,-0.13597380287091376,1
0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,-1.4582018928354976,-0.3417882662130593,-0.3076646359281282,-0.5040186939779314,0.21193178409086497,-0.19312477497136735,1
0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,-0.18498591485259572,-0.17802555989629393,-0.21626620179572573,-0.5040186939779314,-0.4778550410418999,-0.19312477497136735,1
1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,-0.0671313250848309,-0.3895390357653059,0.2829098615427802,-0.5040186939779314,1.8472022747073333,-0.19312477497136735,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,-1.708723397860965,-0.3908209356190575,-0.20923555301631017,-0.5040186939779314,0.5925038255434248,-0.19312477497136735,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0.684433189991571,-0.3257645180411644,-0.3294596471443165,-0.5040186939779314,1.3060764032669747,0.9117940189707352,1
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0.523429652057466,-0.383129536496548,-0.33227190665608275,-0.5040186939779314,0.3486998614878787,-0.1550241269043983,1
0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0.4802807038911259,-0.3901799856921817,4.880954163280567,-0.5040186939779314,-1.0724988558115247,-0.19312477497136735,1
0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,-0.22298274980504448,3.334380039383057,0.2547872664251179,-0.5040186939779314,-0.12106875218012497,-0.13597380287091376,1
0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,-0.2332869762328272,-0.3911414105824954,-0.27251139203105035,-0.5040186939779314,-1.0724988558115247,-0.19312477497136735,1
0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1.129446968841437,-0.3895390357653059,-0.32875658226637494,-0.5040186939779314,0.8303613514512749,-0.19312477497136735,1
0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0.5395300058508765,-0.37672003722779007,0.0719903981603129,-0.5040186939779314,3.1554186672005087,-0.19312477497136735,1
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1.0598934404539038,-0.3901799856921817,-0.3280535173884334,1.7116277435027794,-0.5967838039958249,-0.19312477497136735,1
0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1.9293125452980706,0.0014404196289283955,-0.24438879691338805,0.30167091965141796,0.11678877372772499,-0.19312477497136735,1
0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0.31412505274312963,4.78933637339111,-0.33016271202225805,1.3087829366881047,0.4141106811125374,-0.054057409526930306,1
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,-0.21718662243941672,-0.3658238884709016,-0.3217259334869594,-0.1011738871632567,-0.5967838039958249,-0.11692347883742923,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,-0.41039086796034263,-0.12354481611185143,0.782085924881286,-0.30259629057059406,-1.0724988558115247,-0.19312477497136735,1
0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,-0.007882023125080273,-0.2549395511213892,-0.03065707401915452,-0.30259629057059406,-0.3589262780879749,-0.19312477497136735,1
0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0.47512859067723456,-0.3417882662130593,-0.22399991545308287,-0.30259629057059406,2.0196489809905245,9.332037241770896,1
1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,-1.7022832563436008,-0.3908209356190575,-0.33086577690019964,1.7116277435027794,-1.0724988558115247,-0.10625529737867791,1
0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,-1.5612441571133249,-0.27096329929328405,-0.3146952847075438,0.10024851624408064,0.47357506258949994,2.684998180007475,1
0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,-0.47479228313398464,-0.3703105379590321,-0.22962443447661532,0.90593812987343,-0.5967838039958249,0.36962179697776554,1
0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0.5395300058508765,7.660792045794666,0.8102085199989484,-0.30259629057059406,1.9899167902520434,-0.0978731548039447,1
0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0.35662998675773333,-0.3671057883246531,0.782085924881286,-0.5040186939779314,1.4250051662208998,-0.19312477497136735,0
1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0.7591388315929957,-0.3895390357653059,-0.23735814813397246,-0.5040186939779314,4.755010528930799,-0.19312477497136735,0
0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1.1242948556275458,-0.3895390357653059,0.4235228371310917,-0.5040186939779314,1.3060764032669747,-0.19312477497136735,0
0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1.1616476764282582,-0.38889808583843016,0.8102085199989484,-0.5040186939779314,-0.12106875218012497,-0.19274376849069766,0
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,-0.39429051416693217,-0.22161015492384792,-0.06862257742799863,-0.30259629057059406,-0.12106875218012497,-0.19312477497136735,0
0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0.46933246331160683,-0.3703105379590321,-0.24438879691338805,-0.5040186939779314,1.5617732436179135,-0.19312477497136735,0
1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,-0.49089263692739515,-0.20366355697132568,0.07902104693972847,-0.5040186939779314,-0.12106875218012497,-0.19312477497136735,0
0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,-0.32988909899329016,-0.017788078177345425,-0.3146952847075438,-0.30259629057059406,-0.0021399892261999894,-0.18931471016467044,0
0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,-1.5870047231827817,-0.07867832123054586,-0.3146952847075438,-0.5040186939779314,-0.23999751513404993,-0.19312477497136735,0
0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1.4675543985030575,-0.38505238627717536,-0.33227190665608275,-0.30259629057059406,-0.5135336699280774,-0.19312477497136735,0
1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0.056519392048561705,-0.38633428613092696,-0.33086577690019964,-0.5040186939779314,1.1157903825406947,-0.19312477497136735,0
0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0.8396406005600482,-0.3895390357653059,-0.3146952847075438,-0.5040186939779314,0.6400753307249949,-0.19312477497136735,0
0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0.029470797675632075,-0.1908445584338098,-0.012377387192674021,-0.5040186939779314,0.11678877372772499,-0.19312477497136735,0
0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0.6683328361981605,-0.3898595107287438,-0.32875658226637494,-0.5040186939779314,0.5925038255434248,-0.19312477497136735,0
0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,-0.07228343829872226,-0.32031644366272016,-0.3294596471443165,-0.5040186939779314,0.045431515955370004,-0.19312477497136735,0
0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,-1.7035712846470736,-0.37672003722779007,-0.33156884177814117,-0.5040186939779314,0.3546462996355749,-0.19312477497136735,0
1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,-1.6939110723710273,-0.38633428613092696,-0.33227190665608275,-0.5040186939779314,-0.4778550410418999,-0.18798118748232653,0
0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,-1.3229589209708494,0.017464167800823244,-0.32875658226637494,-0.5040186939779314,-0.4064977832695449,-0.19312477497136735,0
0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0.2980246989497191,-0.3414677912496214,-0.32875658226637494,-0.5040186939779314,-0.3589262780879749,-0.19312477497136735,0
0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1.6446582902305729,0.049511664144612944,0.33282746787663076,-0.5040186939779314,0.11678877372772499,-0.17407445093788282,0
0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0.12607292043609505,-0.38633428613092696,-0.3217259334869594,-0.5040186939779314,-1.0724988558115247,-0.15026154589602717,0
1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0.11512467985657591,-0.2776932735254799,-0.32875658226637494,-0.5040186939779314,-0.05565793255546623,-0.19312477497136735,0
0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,-1.7106554403161742,-0.1908445584338098,-0.24438879691338805,-0.5040186939779314,-0.0021399892261999894,-0.1929342717310325,0
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,-1.5805645816654175,-0.38761618598467856,-0.33016271202225805,-0.5040186939779314,0.5211465677710699,-0.19312477497136735,0
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,-1.5419237325612323,-0.3908209356190575,-0.33156884177814117,-0.1011738871632567,-0.07944368514625122,-0.0978731548039447,0
0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,-1.4839624589049545,-0.33505829198086345,-0.3146952847075438,-0.5040186939779314,-0.09728299958933997,-0.11692347883742923,0
0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0.5446821190647679,-0.3382630416152424,-0.3294596471443165,-0.5040186939779314,-0.5967838039958249,-0.19312477497136735,0
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,-0.5230933445142161,-0.3895390357653059,-0.06862257742799863,-0.1011738871632567,-1.0724988558115247,-0.18588565183864322,0
0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,-1.7093674120127014,-0.38729571102124066,-0.17408230911923228,-0.1011738871632567,-0.3589262780879749,-0.19217225876969313,0
0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0.06682361847634442,-0.3898595107287438,0.0719903981603129,-0.1011738871632567,-0.6265159947343061,-0.19312477497136735,0
0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1.805661828164678,-0.3414677912496214,-0.33227190665608275,3.524429374168815,-0.16864025736169497,-0.16835935372783745,0
0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0.12607292043609505,-0.017788078177345425,-0.32875658226637494,-0.5040186939779314,0.5925038255434248,-0.19312477497136735,0
1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,-1.7093674120127014,-0.38761618598467856,-0.30063398714871264,-0.5040186939779314,-0.3589262780879749,-0.19312477497136735,0
0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0.909838143099318,-0.3190345438089686,-0.3252412578766672,-0.5040186939779314,-0.025925741816984985,-0.19312477497136735,0
1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,-0.45353981612668276,-0.3671057883246531,0.22666467130745557,0.5030933230587553,-0.23999751513404993,-0.19217225876969313,0
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0.15312151480902467,-0.379924786862169,-0.3076646359281282,0.10024851624408064,0.8838792947805411,-0.19312477497136735,0
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,-1.5676842986306891,-0.35781201438495414,-0.32875658226637494,0.10024851624408064,-0.0021399892261999894,-0.1651207986421451,0
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,-0.14248098083799202,-0.3510820401527583,0.2829098615427802,-0.5040186939779314,0.47357506258949994,-0.19312477497136735,0
1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0.44807999630430495,-0.3671057883246531,-0.33156884177814117,0.10024851624408064,0.18814603150007997,-0.19312477497136735,0
0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,-0.39429051416693217,-0.3510820401527583,0.634442300513559,0.10024851624408064,-0.23999751513404993,-0.15311909450104985,0
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,-0.08838379209213275,-0.030607076714861303,-0.2415765374016218,-0.1011738871632567,0.11678877372772499,-0.19312477497136735,0
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0.7056856569988729,-0.38889808583843016,-0.2514194456928036,0.90593812987343,0.7114325884973499,-0.19217225876969313,0
0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,-1.3873603361444915,-0.3703105379590321,0.10995590156915701,2.5173173571321286,-1.0724988558115247,1.9408925232595695,1
0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1.9988660736856039,-0.16552703632221594,-0.32242899836490096,0.7045157264660926,1.0682188773591248,0.060625541154646544,1
1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,-0.3891384009530408,2.92096733654817,-0.09674517254566094,-0.30259629057059406,-0.5967838039958249,-0.18359961295462507,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0.8454367279256759,-0.1921264582875614,-0.3294596471443165,-0.30259629057059406,0.11678877372772499,-0.13597380287091376,1
0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,-0.07228343829872226,-0.3510820401527583,-0.24720105642515428,12.991282334313672,-0.23999751513404993,-0.14397493896497726,1
1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,-0.13153274025847286,-0.3510820401527583,-0.3217259334869594,1.9130501469101167,-0.3589262780879749,-0.08510943770151008,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1.1191427424136544,1.744824220731088,4.852831568162905,0.10024851624408064,-1.0724988558115247,-0.19312477497136735,1
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,-1.5741244401480532,-0.38825713591155436,-0.27251139203105035,0.5030933230587553,-0.3589262780879749,-0.19312477497136735,1
0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0.523429652057466,-0.3895390357653059,-0.2795420408104659,0.7045157264660926,-1.0724988558115247,-0.0026215346365220825,1
0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1.3445476955214013,-0.383129536496548,-0.3146952847075438,1.9130501469101167,1.3655407847439371,0.28503835826909424,1
0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,-0.26033557060575685,-0.38761618598467856,-0.3146952847075438,0.90593812987343,-0.4778550410418999,-0.03900765354047753,1
0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0.4912289444706451,-0.2549395511213892,-0.10377582132507651,-0.1011738871632567,0.5568251966572474,-0.07691779836711174,1
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0.10482045342879319,-0.379924786862169,0.2547872664251179,-0.5040186939779314,0.5925038255434248,-0.19312477497136735,1
0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,2.637728112208132,-0.37351528759341107,-0.3231320632428425,-0.30259629057059406,-1.0724988558115247,-0.19312477497136735,1
0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,-0.41039086796034263,0.19693014732604555,-0.17408230911923228,-0.30259629057059406,-0.4778550410418999,-0.16454928892114054,1
1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1.3284473417279907,-0.38857761087499226,-0.2865726895898815,0.7045157264660926,1.1574154495745685,9.541590806139226,1
0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0.6090835342384099,-0.3895390357653059,-0.3146952847075438,0.7045157264660926,-1.0724988558115247,-0.12321008576847914,1
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0.37852646791677164,-0.37351528759341107,-0.2936033383692971,1.9130501469101167,1.3536479084485447,-0.0026215346365220825,1
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1.4031529833294156,-0.3703105379590321,-0.3280535173884334,-0.5040186939779314,1.0087544958821624,-0.19312477497136735,1
0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0.8454367279256759,-0.37383576255684897,-0.32875658226637494,0.10024851624408064,0.11678877372772499,-0.0026215346365220825,1
